label,horizon,family,k,seed,delta,fit_seconds_sum,N_sessions,N_origins
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",30,log_ridge_harq,0,20260908,0.0013766126411388412,3539.521751100154,419,160832
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",30,log_ridge_harq,1,20260909,0.001537412540071417,3504.284417499861,419,160832
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",30,log_ridge_harq,2,20260910,0.0012990337676131597,3522.1001963002127,419,160832
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",30,log_ridge_harq,3,20260911,0.0014927351137306562,3508.9350658999174,419,160832
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",30,log_ridge_harq,4,20260912,0.0017054159015258803,3519.6824633000506,419,160832
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",30,log_ridge_harq,5,20260913,0.0006774395579418182,3514.50119500023,419,160832
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",30,log_ridge_harq,6,20260914,0.0014055525885480822,3504.0714018000144,419,160832
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",30,log_ridge_harq,7,20260915,0.001258529591000842,3512.6709929001736,419,160832
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",30,log_ridge_harq,8,20260916,0.0012698725430570197,3524.7781403000918,419,160832
"robustez comprometida en la propuesta, ejecutada después de la lectura primaria; no selecciona modelos ni cambia el titular; se reporta salga como salga",30,log_ridge_harq,9,20260917,0.0005395383606642487,3522.2106276001796,419,160832
